Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
"Departamento en Renta Tiburcio Sánchez De La Barquera #115
, Merced Gómez, Benito Juárez, Distrito Federal (cdmx)"|20,000 MX$|2|2|98m2
Departamento en Renta Chosica 655-3 Col. Lindavista, Distrito Federal (cdmx)|13,800 MX$|2|1|120m2
"Departamento en Renta Xicoténcatl #137
, Colonia Del Carmen, Coyoacán, Distrito Federal (cdmx)"|10,000 MX$|1|1|60m2
"Departamento en Renta Mexico Coyoacan #371
, Xoco, Benito Juárez, Distrito Federal (cdmx)"|20,000 MX$|2|2|80m2
"Departamento en Renta Sanchez Azcona #1651
, Del Valle Sur, Benito Juárez, Distrito Federal (cdmx)"|17,000 MX$|2|1|114m2
Departamento en Renta Prolongación Reforma #1190, Cuajimalpa De Morelos, Distrito Federal (cdmx)|35,000 MX$|2|2|140m2
Departamento en Renta Calle Duna Edificio 40 Depto 1 Unidad Habitacional Patera Vallejo, Vallejo, Ciudad De México|7,200 MX$|3|1|80m2
"Departamento en Renta Oasis #94
, Clavería, Azcapotzalco, Distrito Federal (cdmx)"|13,000 MX$|3|1|94m2
"Departamento en Renta Chicago #98
, Nápoles, Benito Juárez, Distrito Federal (cdmx)"|58,215 MX$|3|3|190m2
"Departamento en Renta Jose Rosas Moreno #96
, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)"|20,500 MX$|2|1|74m2
"Departamento en Renta Andres De La Concha #10
, San José Insurgentes, Benito Juárez, Distrito Federal (cdmx)"|18,000 MX$|2|2|120m2
"Departamento en Renta Ahuehuetes Nte #1275, 401
, Bosques De Las Lomas, Cuajimalpa De Morelos"|54,000 MX$|3|3|305m2
"Departamento en Renta 7 (periferico Oriental)
, Iztacalco, Distrito Federal (cdmx)"|6,000 MX$|2|1|45m2
Departamento en Renta Av.jardín 330 Colonia Del Gas, Azcapotzalco, Distrito Federal (cdmx)|9,500 MX$|2|2|76m2
"Departamento en Renta Av Tamaulipas #1236
, Álvaro Obregón, Distrito Federal (cdmx)"|9,200 MX$|1|1|39m2
Departamento en Renta Revolucion 1185, Merced Gomez, Álvaro Obregón, Distrito Federal (cdmx)|15,000 MX$|2|2|65m2
"Departamento en Renta Juan Augusto Ingres #143
, Santa Maria Nonoalco, Benito Juárez, Distrito Federal (cdmx)"|13,000 MX$|2|1|65m2
"Departamento en Renta Encinos #65
, Tlalpan, Distrito Federal (cdmx)"|11,500 MX$|2|2|90m2
"Departamento en Renta Popocatepetl #415, 604
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|22,000 MX$|2|2|86m2
"Departamento en Renta Heraclito #2
, Polanco V Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|48,000 MX$|3|2|254m2
